No.,機能,操作手順,期待する動作,実行結果(⚪︎/×),確認者,確認日付,備考,環境
65,"「アカウント登録」画面
「確認する」ボタン","①「住所（市区町村）」以外の項目を入力可能な文字種類で全て入力する
②「確認する」ボタンをクリック",「住所（市区町村）」の下に「住所（市区町村）が未入力です。」というエラーメッセージが赤字で表示される。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
66,"「アカウント登録」画面
「確認する」ボタン","①「住所（番地）」以外の項目を入力可能な文字種類で全て入力する
②「確認する」ボタンをクリック",「住所（番地）」の下に「住所（番地）が未入力です。」というエラーメッセージが赤字で表示される。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
67,"アカウント登録確認画面
「登録する」ボタン",「登録する」リンクが実装されているのを確認する,「登録する」ボタンが実装されていること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
68,"アカウント登録確認画面
「登録する」ボタン",MAMPを起動しない状態で「登録する」ボタンをクリックする,「エラーが発生したためアカウント登録できません。」と赤字でエラーメッセージが表示される。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
69,アカウント登録確認画面,「前に戻る」リンクが実装されているのを確認する,「前に戻る」ボタンが実装されていること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
70,アカウント登録完了画面,"①MAMPを起動する
②「登録する」ボタンをクリックする
③「画面項目」を確認する",画面中央に大きく「登録完了しました」とテキスト表示されている。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
71,アカウント登録完了画面,「TOPページへ戻る」リンクが実装されているのを確認する,「TOPページへ戻る」ボタンが実装されていること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
Ver.2,,,,,,,,
1,ナビゲーションバー,ナビゲーションバーに「アカウント一覧」リンクが実装されているのを確認する,ナビゲーションバーに「アカウント一覧」リンクが実装されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
2,「アカウント一覧」画面,「ID」の項目が実装されているのを確認する,表頭の1列目が「ID」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
3,「アカウント一覧」画面,「名前（姓）」の項目が実装されているのを確認する,表頭の2列目が「名前（姓）」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
4,「アカウント一覧」画面,「名前（名）」の項目が実装されているのを確認する,表頭の3列目が「名前（名）」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
5,「アカウント一覧」画面,「カナ（姓）」の項目が実装されているのを確認する,表頭の4列目が「カナ（姓）」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
6,「アカウント一覧」画面,「カナ（名）」の項目が実装されているのを確認する,表頭の5列目が「カナ（名）」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
7,「アカウント一覧」画面,「メールアドレス」の項目が実装されているのを確認する,表頭の6列目が「メールアドレス」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
8,「アカウント一覧」画面,「性別」の項目が実装されているのを確認する,表頭の7列目が「性別」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
9,「アカウント一覧」画面,「アカウント権限」の項目が実装されているのを確認する,表頭の8列目が「アカウント権限」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
10,「アカウント一覧」画面,「削除フラグ」の項目が実装されているのを確認する,表頭の9列目が「削除フラグ」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
11,「アカウント一覧」画面,「登録日時」の項目が実装されているのを確認する,表頭の10列目が「登録日時」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
12,「アカウント一覧」画面,「更新日時」の項目が実装されているのを確認する,表頭の11列目が「更新日時」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
13,「アカウント一覧」画面,「操作」の項目が実装されているのを確認する,表頭の12列目が「操作」であること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
14,「アカウント一覧」画面,「ID」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「id」の登録情報がテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
15,「アカウント一覧」画面,「名前（姓）」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「family_name」の登録情報がテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
16,「アカウント一覧」画面,「名前（名）」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「last_name」の登録情報がテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
17,「アカウント一覧」画面,「カナ（姓）」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「family_name_kana」の登録情報がテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
18,「アカウント一覧」画面,「カナ（名）」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「last_name_kana」の登録情報がテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
19,「アカウント一覧」画面,「メールアドレス」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「mail」の登録情報がテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
20,「アカウント一覧」画面,「性別」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「gender」の登録情報がテキスト表示（パラメータが0の場合は「男」、1の場合は「女」と表示）されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
21,「アカウント一覧」画面,「アカウント権限」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「authority」の登録情報がテキスト表示（パラメータが0の場合は「一般」、1の場合は「管理者」と表示）されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
22,「アカウント一覧」画面,「削除フラグ」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「delete_flag」の登録情報がテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
23,「アカウント一覧」画面,「登録日時」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「registered_time」の登録情報が年月日のみテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
24,「アカウント一覧」画面,「更新日時」の行にaccount_infoテーブルの登録情報がテキスト表示されていることを確認する,「update_time」の登録情報が年月日のみテキスト表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
25,「アカウント一覧」画面,「操作」列に「更新」リンクが実装されているのを確認する,「更新」ボタンが実装されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
26,「アカウント一覧」画面,「操作」列に「削除」リンクが実装されているのを確認する,「削除」ボタンが実装されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
27,「アカウント一覧」画面,一覧の並び順を確認する,IDの降順で表示されていること。,⚪︎,松田,2024/07/07,-,"Chrome最新版
(126.0.6478.62)"
